Source,File,Metric,Avg,Min,Med,Max,P90,P95,Value,Rate,Percentage,Count,Total
Azure With Content,Baseline,data_received,,,,,,,11 MB,,,,
Azure With Content,Baseline,data_sent,,,,,,,87 kB,,,,
Azure With Content,Baseline,http_req_blocked,1.33ms,0s,0s,125.67ms,0s,0s,,,,,
Azure With Content,Baseline,http_req_connecting,467.96µs,0s,0s,19.12ms,0s,0s,,,,,
Azure With Content,Baseline,http_req_duration,25.53ms,14.37ms,25ms,200.02ms,35.02ms,40.15ms,,,,,
Azure With Content,Baseline,http_req_failed,,,,,,,,,0.00%,0,692
Azure With Content,Baseline,http_req_receiving,2.16ms,0s,899.8µs,29.37ms,4.99ms,6.4ms,,,,,
Azure With Content,Baseline,http_req_sending,18.67µs,0s,0s,1.98ms,0s,86.81µs,,,,,
Azure With Content,Baseline,http_req_tls_handshaking,786.37µs,0s,0s,106.61ms,0s,0s,,,,,
Azure With Content,Baseline,http_req_waiting,23.35ms,13.71ms,22.24ms,196.55ms,31.85ms,35.07ms,,,,,
Azure With Content,Baseline,http_reqs,,,,,,,692,5.71704/s,,,
Azure With Content,Baseline,iteration_duration,1.05s,1.03s,1.04s,1.51s,1.06s,1.07s,,,,,
Azure With Content,Baseline,iterations,,,,,,,346,2.85852/s,,,
Azure With Content,Baseline,vus,,1,,9,,,1,,,,
Azure With Content,Baseline,vus_max,,10,,10,,,10,,,,
Azure With Content,Soak,data_received,,,,,,,80 GB,,,,
Azure With Content,Soak,data_sent,,,,,,,573 MB,,,,
Azure With Content,Soak,http_req_blocked,18.87µs,0s,0s,311.37ms,0s,0s,,,,,
Azure With Content,Soak,http_req_connecting,1.75µs,0s,0s,79.18ms,0s,0s,,,,,
Azure With Content,Soak,http_req_duration,256.23ms,256.4µs,39.72ms,8s,707.76ms,910.02ms,,,,,
Azure With Content,Soak,http_req_failed,,,,,,,,,0.00%,0,4916200
Azure With Content,Soak,http_req_receiving,2.25ms,0s,1ms,5.4s,5.62ms,7.5ms,,,,,
Azure With Content,Soak,http_req_sending,29.03µs,0s,0s,16.97ms,0s,138.6µs,,,,,
Azure With Content,Soak,http_req_tls_handshaking,2.33µs,0s,0s,291.63ms,0s,0s,,,,,
Azure With Content,Soak,http_req_waiting,253.95ms,256.4µs,37.66ms,7.9s,703.58ms,905.47ms,,,,,
Azure With Content,Soak,http_reqs,,,,,,,4916200,256.047901/s,,,
Azure With Content,Soak,iteration_duration,1.51s,1.02s,1.43s,9.02s,1.93s,2.13s,,,,,
Azure With Content,Soak,iterations,,,,,,,2458100,128.02395/s,,,
Azure With Content,Soak,vus,,1,,200,,,1,,,,
Azure With Content,Soak,vus_max,,200,,200,,,200,,,,
Azure Without Content,Baseline,data_received,,,,,,,3.6 MB,,,,
Azure Without Content,Baseline,data_sent,,,,,,,88 kB,,,,
